/* Names data file for localisation
 * The id's should be less than 20 chars 
 *
 * Text like this "*text*" is not final and should not be translated.
 */ 

/*
 * VEHICLES
 */

/* FINAL VEHICLES */
ZNULLDESIGN				"New Design"
R-Wpn-Rail-Damage03			"Hardened Rail Dart Mk3"
R-Wpn-Rail-ROF01				"Rail Gun ROF"
R-Wpn-Rail-ROF02				"Rail Gun ROF Mk2"
R-Wpn-Rail-ROF03				"Rail Gun ROF Mk3"

R-Wpn-Rocket-Accuracy01			"Stabilized Mini-Rockets"
R-Wpn-Rocket-Accuracy02			"Stabilized Mini-Rockets Mk2"
R-Wpn-Rocket-Damage01			"HE Mini-Rockets"
R-Wpn-Rocket-Damage02			"HE Mini-Rockets Mk2"
R-Wpn-Rocket-Damage03			"HE Mini-Rockets Mk3"
R-Wpn-Rocket-Damage04			"HEAP Mini-Rockets"
R-Wpn-Rocket-Damage05			"HEAP Mini-Rockets Mk2"
R-Wpn-Rocket-Damage06			"HEAP Mini-Rockets Mk3"
R-Wpn-Rocket-ROF01			"Fast Fire Mini-Rockets"
R-Wpn-Rocket-ROF02			"Fast Fire Mini-Rockets Mk2"
R-Wpn-Rocket-ROF03			"Fast Fire Mini-Rockets Mk3"
R-Wpn-Rocket-ROF04			"Rapid Fire Mini-Rockets"
R-Wpn-Rocket-ROF05			"Rapid Fire Mini-Rockets Mk2"
R-Wpn-Rocket-ROF06			"Rapid Fire Mini-Rockets Mk3"
R-Wpn-RocketSlow-Accuracy01		"Improved Rocket Wire Guidance"
R-Wpn-RocketSlow-Accuracy02		"Rocket Laser Designator"
R-Wpn-RocketSlow-Accuracy03		"Thermal Imaging Rockets"
R-Wpn-RocketSlow-Damage01		"HEAT Rocket Warhead" 
R-Wpn-RocketSlow-Damage02		"HEAT Rocket Warhead Mk2"
R-Wpn-RocketSlow-Damage03		"HEAT Rocket Warhead Mk3"
R-Wpn-RocketSlow-Damage04		"HESH Rocket Warhead"
R-Wpn-RocketSlow-Damage05		"HESH Rocket Warhead Mk2"
R-Wpn-RocketSlow-Damage06		"HESH Rocket Warhead Mk3"
R-Wpn-RocketSlow-ROF01			"Rocket Autoloader"
R-Wpn-RocketSlow-ROF02			"Rocket Autoloader Mk2"
R-Wpn-RocketSlow-ROF03			"Rocket Autoloader Mk3"

R-Wpn-Rocket01-LtAT			"Lancer AT Rocket"
R-Wpn-Rocket02-MRL			"Mini-Rocket Artillery"
R-Wpn-Rocket03-HvAT			"Bunker Buster Rocket"
R-Wpn-Rocket05-MiniPod			"Mini-Pod Rockets"
R-Wpn-Rocket06-IDF			"Ripple Rockets"
R-Wpn-Rocket07-Tank-Killer		"Tank Killer Rocket"

R-Wpn-TUTMG					"Machine Gun Artifact"

/* ENEMY STRUCTURES */
A0CommandCentreNP				"New Paradigm Command Center"
A0CommandCentreCO				"Collective Command Center"
A0CommandCentreNE				"*CommandCenterNE*"
UplinkCentre				"*UplinkCentre*"
NuclearReactor				"*NuclearReactor*"
CoolingTower				"*CoolingTower*"
GunsOfNav2					"*GunsOfNavaroneTwo*"
GunsOfNav1					"*GunsOfNavaroneOne*"
Sys-NEXUSLinkTOW				"*Sys-NEXUSLinkTOW*"

/* BARBARIAN STRUCTURES */
A0BaBaFactory				"Scavenger Factory"
A0BaBaGunTower				"Scavenger Gun Tower"
A0BaBaHorizontalWall			"Scavenger Horizontal Wall"
A0BaBaPowerGenerator			"Scavenger Power Generator"
A0BaBaRocketPit				"Scavenger Rocket Pit"
A0BaBaRocketPitAT				"Scavenger AT-Rocket Pit"
A0BaBaBunker				"Scavenger Bunker"
A0BabaCornerWall				"Scavenger CornerWall"
A0BaBaFlameTower				"Scavenger Flame Tower"
A0BaBaFlameTowerEnd			"Scavenger Flame Tower End"
LookOutTower				"Look-Out Tower"
A0CannonTower				"Cannon Tower"
A0BaBaGunTowerEND				"*Scavenger End Tower*"
Barrier					"*Barrier*"
A0BaBaMortarPit				"*BaBaMortarPit*"
Emplacement-MortarPit01			" Mortar Pit"
// MissileBunker				"Missile Bunker"
A0BaBaFlameTow				"*A0BaBaFlameTow*"

/* BARBARIAN WEAPONS*/
ZNULLWEAPON					"*Z NULL Weapon*"
BaBaCannon					"*BaBa Cannon*"
BaBaMG					"*BaBa MG*"
BabaFlame					"*Flamer*"
BJeepMG					"*Jeep MG*"
BTowerMG					"*Tower MG*"
bTrikeMG					"*Trike MG*"
BuggyMG					"*Buggy MG*"
BabaRocket					"*BabaRocket*"
BusCannon					"*BusCannon*"
BabaPitRocket				"*Baba Rocket Pit Launcher*"
BabaPitRocketAT				"*AT Rocket Pit"

/* FEATURES */
Crate						"Artifact"
OilResource					"Oil Resource"
Boulder1					"*Boulder 1*"
Boulder2					"*Boulder 2*"
Boulder3					"*Boulder 3*"
Chevy						"*Chevy*"
BlueCar					"*Blue Car*"
Pickup					"*Pickup*"
Crane						"*Crane*"
WaterTower					"*Water Tower*"
OilTower					"*Oil Tower*"
building1					"*Building 1*"
building2					"*Building 2*"
building3					"*Building 3*"
building4					"*Building 4*"
building5					"*Building 5*"
building6					"*Building 6*"
building7					"*Building 7*"
building8					"*Building 8*"
building10					"*Building 10*"
building11					"*Building 11*"
building12					"*Building 12*"
Ruin5						"*Ruin5*"
Ruin4						"*Ruin4*"
Ruin3						"*Ruin3*"
Ruin1						"*Ruin1*"
miruin2					"*miruin*2"
bridge					"Bridge"
bridge1					"*Bridge 1*"
bridge5					"*Bridge 5*"
BarbTechRuin				"Ruined Factory"
BarbWarehouse1				"Warehouse"
BarbHUT					"Hut"
BarbWarehouse2				"*Warehouse2*"
BarbWarehouse3				"*Warehouse3*"
Pipe						"*Pipe*"
Pipe1						"*Pipe1*"
WaterBuilding				"*Water Building*"
WaterBuilding2				"*Water Building2*"
WaterBuilding3				"*Water Building3*"
OilDrum					"Oil Drum"
//OilPipe1				"*Oil Pipe 1*"
//OilPipe2				"*Oil Pipe 2*"
//OilPipe3				"*Oil Pipe 3*"
Pylon					"*Pylon*"
Tree1					"*Tree1*"
Tree2					"*Tree2*"
Tree3					"*Tree3*"
TreeSnow1				"*Snowy Tree1*"
TreeSnow2				"*Snowy Tree2*"
TreeSnow3				"*Snowy Tree3*"
LogCabin1				"*LogCabin1*"
LogCabin2				"*LogCabin2*"
LogCabin3				"*LogCabin3*"
LogCabin4				"*LogCabin4*"
LogCabin5				"*LogCabin5*"
OldFactory				"*OldFactory*"
AirTrafficControl			"*AirTrafficControl*"
WreckedDroidHub				"Wreck"
//WreckedHovercraft			"Wrecked Hovercraft"
WreckedTank				"Wrecked Tank"
//WreckedBuilding1			"*Wrecked Building 1*"
//Wreckedbuilding2			"*Wrecked Building 2*"
//WreckedBuilding3			"*Wrecked Building 3*"
//WreckedBuilding4			"*Wrecked Building 4*"
//WreckedBuilding				"*Wrecked Building 5*"
WreckedBuilding6			"*Wrecked Building 6*"
WreckedBuilding7			"*Wrecked Building 7*"
WreckedBuilding8			"*Wrecked Building 8*"
WreckedBuilding9			"*Wrecked Building 9*"
WreckedBuilding10			"*Wrecked Building 10*"
WreckedBuilding11			"*Wrecked Building 11*"
WreckedBuilding12			"*Wrecked Building 12*"
WreckedBuilding13			"*Wrecked Building 13*"
WreckedBuilding14			"*Wrecked Building 14*"
WreckedBuilding15			"*Wrecked Building 15*"
WreckedBuilding16			"*Wrecked Building 16*"
WreckedBuilding17			"*Wrecked Building 17*"
WreckedBridge				"Wrecked Bridge"
WreckedVertCampVan			"Wrecked Van"
WreckedSuzukiJeep			"Wrecked Vehicle"
WreckedTankerV				"Wrecked Tanker"
//WreckedTankerH				"Wrecked Tanker"

/* LABS */
Z-Lab01					"Cyborg Laboratory"
Z-Lab02					"Advanced Warfare Laboratory"
Z-Lab03					"Engineering Laboratory"
Z-Lab04					"Robotics Laboratory"
Z-Lab05					"Laser Optics Laboratory"
Z-Lab06					"Electronics Laboratory"
Z-Lab07					"Chemical Laboratory"
Z-Lab08					"*Advanced Materials Lab*"
Z-Lab09					"*VTOL Lab*"
Z-Lab10					"*Electro-Magnetics Lab*"
Z-Lab11					"*Nanotech Lab*"
Z-Lab12					"*High Energy Lab*"

/* LABS RESEARCH */
R-Lab-AdvWarfare			"Advanced Warfare"
R-Lab-Chemical				"Chemical Laboratory"
R-Lab-Cyborg				"Cyborg Laboratory"
R-Lab-Electronics			"Electronics Laboratory"
R-Lab-Engineering			"Engineering Laboratory"
R-Lab-Robotics				"Robotics Laboratory"

// *New Names...... Keith

P0PythonHvyCnTrks		"Python Heavy Cannon Tracks"
P0CobraSpadeTracks		"Cobra Truck"
P0CobraFlameTracks		"Cobra Flamer Tracks"
P0CobraMedCnTrks		"Cobra Medium Cannon Tracks"

//CyborgChain01GroundP0	"Gunner"
//CyborgRkt01GroundP0		"Lancer"
//CyborgCannon01GrdP0		"Heavy Gunner"
//CyborgFlamer01GrdP0		"Flamer"

// Cyborgs used in PSX scripts - copied to Player2 and renamed P2

//CyborgFlamer01GrdP2		"*CyborgFlamer01GrdP2*"
//CyborgCannon01GrdP2		"*CyborgCannon01GrdP2*"
//CyborgRkt01GroundP2		"*CyborgRkt01GroundP2*"
//CyborgChain01GroundP2	"*CyborgChain01GroundP2*"

// added in by Keith

R-Defense-PrisLas		"Flashlight Emplacement"
P0-AASite-SAM1			"Avenger SAM Site"
P0-AASite-SAM2			"Vindicator SAM Site"
Howitzer04-Inc-pit		"*Howitzer04-Inc-pit*"
//P0-Emp-IncHow-Pit		"Hellfire Emplacement"
Rocket-MRL-pit			"*Rocket-MRL-pit*"
Emplacement-MRL-pit		"MRL Emplacement"
GuardTower-RotMg		"Assault Gun Guard Tower"

Emplacement-HvyATrocket	"Tank Killer Emplacement"
//Rocket-HvyA-T-pit		"*Tank Killer-pit*"
Emplacement-HPVcannon	"HPV Cannon Emplacement"
Emplacement-PulseLaser	"Pulse Laser Emplacement"
Emplacement-Rail2		"Railgun Emplacement"
Emplacement-MdART-pit	"Angel Missile Emplacement"
Missile-MdArt-pit		"*Angle Missile-pit*"
Emplacement-HvART-pit	"Archangel Missile Emplacement"
Missile-HvyArt-pit		"*Missile-HvyArt-pit*"
WallTower-HvATrocket	"Tank Killer Hardpoint"
WallTower-HPVcannon		"HPV Cannon Hardpoint"
WallTower-Atmiss		"Scourge Missile Hardpoint"
WallTower-Rail3			"Gauss Cannon Hardpoint"

// added by Pete
//R-Cyborg-Wpn-Missile		"Revenger"

//ResMod-Cyb-MG-GRD		"*ResMod-Cyb-MG-GRD*"

//NEW VEHICLES
CO-M-HvFlame-Track 	"*CO-M-HvFlame-Track*"
CO-M-RR-HT			"*CO-M-RR-HT*"
CO-H-Rkt-BB-T		"*CO-H-Rkt-BB-T*"
CO-M-HMG-T			"*CO-M-HMG-T*"
CO-H-COM-H			"*CO-H-COM-H*"
CO-M-LTAT-Hover		"*CCO-M-LTAT-Hover*"
CO-M-HVAT-Hover		"*CCO-M-HVAT-Hover*"
CO-M-HvMortar-T		"*CO-M-HvMortar-T*"
CO-M-Repair-T		"*CO-M-Repair-T*"
CO-M-Rocket-BB-T		"*CO-M-Rocket-BB-T*"
CO-M-Rocket-LtA-T-T	"*CO-M-Rocket-LtA-T-T*"
CO-M-RotMortar-T		"*CO-M-RotMortar-T*"
CO-M-Sensor-T		"*CO-M-Sensor-T*"
CO-M-Vstrike-T		"*CO-M-Vstrike-T*"
CO-M-VTOLCBS-T		"*CO-M-VTOLCBS-T*"
CO-M-Con-T			"*CO-M-Con-T*"
CO-M-CBS-T			"*CO-M-CBS-T*"
CO-M-ROTMG-T		"*CO-M-ROTMG-T*"
CO-M-HVAT-V			"*CO-M-HVAT-V*"
CO-L-Bomb1-VTOL		"*CO-L-Bomb1-VTOL*"

CO-H-QuadRotAA-T		"*CO-H-QuadRotAA-T*"
CO-H-QuadBofAA-T		"*CO-H-QuadBofAA-T*"

Rocket-IDF-Emp		"*Rocket-IDF-Emp*"


// Additional templates for Player 0 entering start of cam2

P0CobraLtATRktHtrack	"Lancer Cobra Half-tracks"
P0CobraHvyMGHtrack	"HMG Cobra Half-tracks"
P0PythonComTracks		"Commander Python Tracks"
P0CobraRepairTrks		"Repair Cobra Tracks"

// New Cyborg Bodies
Cyb-Bod-Atmiss		"*Cyb-Bod-Atmiss*"
Cyb-Bod-BB-Rkt		"*Cyb-Bod-BB-Rkt*"
Cyb-Bod-Las1			"*Cyb-Bod-Las1*"
Cyb-Bod-Rail1			"*Cyb-Bod-Rail1*"

Cyb-Wpn-Atmiss		"*Cyb-Wpn-Atmiss*"
Cyb-Wpn-BB-Rkt		"*Cyb-Wpn-BB-Rkt*"
Cyb-Wpn-Laser			"*Cyb-Wpn-Laser*"
Cyb-Wpn-Rail1			"*Cyb-Wpn-Rail1*"

Cyb-Atmiss-GROUND		"Scourge"
Cyb-BB-Rkt-GROUND		"Bunker Blaster"
Cyb-Laser1-GROUND		"Flashlight Gunner"
Cyb-Rail1-GROUND		"Needle Gunner"
WreckedTransporter	"Downed Transport"

// Multiplayer VTOLs
P6-L-LTAT-V			"*Skirmish ATVTOL*"
P6-L-Bomb1-V		"*Skirmish BOMBVTOL*"
P6-M-QMG1-HT		"*P6-M-QMG1-HT*"

// New Style Repair Center - replaces all instances of A0RepairCentre
A0RepairCentre2		"Repair Center"
A0RepairCentre3		"Repair Facility"
RepairCentre		"*RepairCenter*"

Emplacement-MortarPit02	"Bombard Pit"
Emplacement-Howitzer150	"Ground Shaker Emplacement"


// CAM3 Start - Available Units
P0cam3CobCONTrk		"Truck"
P0cam3PyHvyATTrk	"Tank Killer Python Tracks"
P0cam3PyHPVcanTrk	"HPV Cannon Python Tracks"
P0cam3PyFlakHT		"Cyclone AA Python Half-tracks"
P0cam3PyAsltGnTrk	"Assault Gun Python Tracks"

R-Sys-NEXUSrepair		"*R-Sys-NEXUSrepair*"
NEXUSrepair			"*NEXUSrepair*"

// name change - moved to bottom of Names.TXT by Keith 9/2/99
Laser3BEAMMk1				"Flashlight"
Laser3BEAM-VTOL				"VTOL Flashlight"

MG4ROTARY-Pillbox			"*MG4ROTARY-Pillbox*"
Pillbox-RotMG				"Rotary MG Bunker"
R-Defense-Pillbox-RotMG			"Rotary MG Bunker"

NX-M-Bomb4-VTOL				"*NX-M-Bomb4-VTOL*"

// Added Cruise Missile Launcher Struc (CAM3-1) and ANTI-SAT Launcher (CAM3-4)
NX-ANTI-SATSite			"Missile Silo"
NX-CruiseSite			"Missile Silo"

NEXUSlink			"*NEXUSlink*"

// Added 21st Feb 99 - New NEXUS Versions of Sensor Towers, etc.

Sys-NX-SensorTower			"*Sys-NX-SensorTower*"
Sys-NX-CBTower				"*Sys-NX-CBTower*"
Sys-NX-VTOL-CB-Tow			"*Sys-NX-VTOL-CB-Tow*"
Sys-NX-VTOL-RadTow			"*Sys-NX-VTOL-RadTow*"
NX-M-HvSam-Hover				"*NX-M-HvSam-Hover*"
NX-L-Link-Hov					"*NX-L-Link-Hov*"
NX-M-Bomb2-VTOL				"*NX-M-Bomb2-VTOL*"

// Latest Additions
NX-L-Flash-Hover			"*NX-L-Flash-Hover*"


//New Skirmish Units
Sk-PythonHvCanTrack			"Python Heavy Cannon Tracks"
Sk-CobraBBHover				"Cobra Bunker Buster Hover"

R-Sys-Sensor-Upgrade02			"Sensor Upgrade"
R-Struc-Power-Upgrade03			"Power Upgrade"
R-Struc-Power-Cam2			"R-Struc-Power-Cam2"
MP-Cyb-ATmiss-GRD			"Scourge"
MP-Cyb-Laser1-GRD			"Flashlight Gunner"

R-Struc-Power-Upgrade01b		"Power Upgrade"
R-Struc-Power-Upgrade01c		"Power Upgrade"

// Cam3NewTech starts here
R-Struc-Power-Upgrade03a		"Power Upgrade"

// New Skirmish Units May28th wdg

SK-Bug-Hover-HMG				"*SK-Bug-Hover-HMG*"
SK-Cobra-Hover-BB				"*SK-Cobra-Hover-BB*"
SK-Cobra-Hover-HMG			"*SK-Cobra-Hover-HMG*"
SK-Cobra-Hover-Lancer			"*SK-Cobra-Hover-Lancer*"
SK-Cobra-Track-HVC			"*SK-Cobra-Track-HVC*"
SK-Cobra-Track-TK				"*SK-Cobra-Track-TK*"
SK-Leopard-Hover-Needle			"*SK-Leopard-Hover-Needle*"
SK-Leopard-HTrk-ASGun			"*SK-Leopard-HTrk-ASGun*"
SK-Leopard-Htrk-Needle			"*SK-Leopard-Htrk-Needle*"
SK-Leopard-Track-Lancer			"*SK-Leopard-Track-Lancer*"
SK-Mantis-Hover-Hcannon			"*SK-Mantis-Hover-Hcannon*"
SK-Mantis-Hover-HVC			"*SK-Mantis-Hover-HVC*"
SK-Panther-Hover-HVC			"*SK-Panther-Hover-HVC*"
SK-Panther-Hover-TK			"*SK-Panther-Hover-TK*"
SK-Panther-Htrk-ASGun			"*SK-Panther-Htrk-ASGun*"
SK-Panther-Htrk-BB			"*SK-Panther-Htrk-BB*"
SK-Panther-Track-HVC			"*SK-Panther-Track-HVC*"
SK-Panther-Track-RailGun		"*SK-Panther-Track-RailGun*"
SK-Panther-Track-TK			"*SK-Panther-Track-TK*"
SK-Python-Hover-Hcannon			"*SK-Python-Hover-Hcannon*"
SK-Python-Hover-Lancer			"*SK-Python-Hover-Lancer*"
SK-Python-Hover-Mcannon			"*SK-Python-Hover-Mcannon*"
SK-Python-Track-Hcannon			"*SK-Python-Track-Hcannon*"
SK-Retal-Track-Needle			"*SK-Retal-Track-Needle*"
SK-Retre-Hover-RailGun			"*SK-Retre-Hover-RailGun*"
SK-Retre-Hover-Scourge			"*SK-Retre-Hover-Scourge*"
SK-Retre-Htrk-Pepper			"*SK-Retre-Htrk-Pepper*"
SK-Retre-Track-FlashLight		"*SK-Retre-Track-FlashLight*"
SK-Retre-Track-PulseLsr			"*SK-Retre-Track-PulseLsr*"
SK-Retre-Track-RailGun			"*SK-Retre-Track-RailGun*"
SK-Retre-Track-Scourge			"*SK-Retre-Track-Scourge*"
SK-Scorp-Hover-ASGUN			"*SK-Scorp-Hover-ASGUN*"
SK-Scorp-Hover-BB				"*SK-Scorp-Hover-BB*"
SK-Scorp-Hover-Bombard			"*SK-Scorp-Hover-Bombard*"
SK-Scorp-Hover-Lancer			"*SK-Scorp-Hover-Lancer*"
SK-Scorp-Hover-Mcannon			"*SK-Scorp-Hover-Mcannon*"
SK-Tiger-Hover-ASCannon			"*SK-Tiger-Hover-ASCannon*"
SK-Tiger-Hover-Gauss			"*SK-Tiger-Hover-Gauss*"
SK-Tiger-Hover-Hcannon			"*SK-Tiger-Hover-Hcannon*"
SK-Tiger-Hover-HVC			"*SK-Tiger-Hover-HVC*"
SK-Tiger-Hover-Scourge			"*SK-Tiger-Hover-Scourge*"
SK-Tiger-Hover-TK				"*SK-Tiger-Hover-TK*"
SK-Tiger-Track-ASCannon			"*SK-Tiger-Track-ASCannon*"
SK-Tiger-Track-Gauss			"*SK-Tiger-Track-Gauss*"
SK-Tiger-Track-Hcannon			"*SK-Tiger-Track-Hcannon*"
SK-Tiger-Track-HVC			"*SK-Tiger-Track-HVC*"
SK-Tiger-Track-Scourge			"*SK-Tiger-Track-Scourge*"
SK-Tiger-Track-TK				"*SK-Tiger-Track-TK*"
SK-Veng-Hover-Gauss			"*SK-Veng-Hover-Gauss*"
SK-Veng-Hover-PulseLsr			"*SK-Veng-Hover-PulseLsr*"
SK-Veng-Hover-Scourge			"*SK-Veng-Hover-Scourge*"
SK-Veng-Track-Gauss			"*SK-Veng-Track-Gauss*"
SK-Veng-Track-PulseLsr			"*SK-Veng-Track-PulseLsr*"
SK-Veng-Track-Scourge			"*SK-Veng-Track-Scourge*"
SK-Bug-Hover-Sensor			"*SK-Bug-Hover-Sensor*"
SK-Bug-Hover-Repair			"*SK-Bug-Hover-Repair*"
SK-Leopard-Hover-Sensor			"*SK-Leopard-Hover-Sensor*"
SK-Leopard-Hover-Repair			"*SK-Leopard-Hover-Repair*"
SK-Panther-Track-Repair			"*SK-Panther-Track-Repair*"
SK-Retal-Hover-Repair			"*SK-Retal-Hover-Repair*"
SK-Retal-Hover-Sensor			"*SK-Retal-Hover-Sensor*"
SK-Bug-VTOL-CLBomb			"*SK-Bug-VTOL-CLBomb*"
SK-Bug-VTOL-BB				"*SK-Bug-VTOL-BB*"
SK-Scorpion-VTOL-BB			"*SK-Scorpion-VTOL-BB*"
SK-Scorpion-VTOL-Hbomb			"*SK-Scorpion-VTOL-Hbomb*"
SK-Mantis-VTOL-BB				"*SK-Mantis-VTOL-BB*"
SK-Leopard-VTOL-BB			"*SK-Leopard-VTOL-BB*"
SK-Leopard-VTOL-PhosBomb		"*SK-Leopard-VTOL-PhosBomb*"
SK-Panther-VTOL-Thermite		"*SK-Panther-VTOL-Thermite*"
SK-Panther-VTOL-BB			"*SK-Panther-VTOL-BB*"
SK-Panther-VTOL-Phosbomb		"*SK-Panther-VTOL-Phosbomb*"
SK-Panther-VTOL-TK			"*SK-Panther-VTOL-TK*"
SK-Retal-VTOL-Phosbomb			"*SK-Retal-VTOL-Phosbomb*"
SK-Retre-VTOL-Thermite			"*SK-Retre-VTOL-Thermite*"
SK-Retre-VTOL-PulseLsr			"*SK-Retre-VTOL-PulseLsr*"
SK-Retre-VTOL-Scourge			"*SK-Retre-VTOL-Scourge*"

// added by keith 26th may 1999 for 005 patch
MP-Cyb-Needle-GRD				"Needle Gunner"

// New Cyborgs - Thermite and Grenadier
R-Cyborg-Wpn-Thermite			"Thermite Flamer"
Cyb-Wpn-Thermite				"*Cybrog Thermite Weapon*"
Cyb-Bod-Thermite				"*Thermite Body*"
Cyb-Thermite				"Thermite Flamer"

R-Cyborg-Wpn-Grenade			"Grenadier"
Cyb-Wpn-Grenade				"*Cyborg Grenade Weapon*"
Cyb-Bod-Grenade				"*Grenadier Body*"
Cyb-Gren					"Grenadier"

// New Cyborgs - added by Marc 8th June 1999 Combat Engineer & Mechanic

R-Cyborg-Sys-ComEng			"Combat Engineer"
CyborgSpade					"*Combat Engineer*"
Cyb-Bod-ComEng				"*Combat Engineer*"
Cyb-ComEng					"Combat Engineer"

R-Cyborg-Sys-Mechanic			"Cyborg Mechanic"
CyborgRepair				"*Cyborg Mechanic*"
Cyb-Bod-Mechanic				"*Cyborg Mechanic*"
Cyb-Mechanic				"Cyborg Mechanic"

// added by Marc 9th June 1999 Incendiary Howitzer/Incenediary Mortar/Plasmite Flamer/Heavy Repair

R-Wpn-Howitzer-Incenediary		"Incenediary Howitzer"
Howitzer-Incenediary			"Incenediary Howitzer"
R-Defense-Howitzer-Incenediary	"Incenediary Howitzer Emplacement"
Emplacement-Howitzer-Incenediary	"Incenediary Howitzer Emplacement"
R-Wpn-Plasmite-Flamer			"Plasmite Flamer"
PlasmiteFlamer				"Plasmite Flamer"
R-Defense-PlasmiteFlamer		"Plasmite Flamer"
Plasmite-flamer-bunker			"Plasmite Flamer"
R-Wpn-Mortar-Incenediary		"Incenediary Mortar"
Mortar-Incenediary			"Incenediary Mortar"
R-Defense-MortarPit-Incenediary	"Incenediary Mortar"
Emplacement-MortarPit-Incenediary	"Incenediary Mortar"
R-Sys-MobileRepairTurretHvy		"Heavy Repair Turret"
HeavyRepair					"Heavy Repair Turret"

R-Cyborg-Armor-Heat07			"Cyborg Superdense Thermal Armor"
R-Cyborg-Armor-Heat08			"Cyborg Superdense Thermal Armor Mk2"
R-Cyborg-Armor-Heat09			"Cyborg Superdense Thermal Armor Mk3"

R-Vehicle-Armor-Heat07			"Vehicle Superdense Thermal Armor"
R-Vehicle-Armor-Heat08			"Vehicle Superdense Thermal Armor Mk2"
R-Vehicle-Armor-Heat09			"Vehicle Superdense Thermal Armor Mk3"

// added by Marc 15th June 1999 Tech 2 Super-Cyborgs and Heavy Laser

R-Cyborg-Hvywpn-Mcannon			"Super Heavy-Gunner"
Cyb-Hvy-Mcannon				"Super Heavy-Gunner"
Cyb-Hvybod-Mcannon			"Super Heavy-Gunner"
Cyb-Hvywpn-Mcannon			"Super Heavy-Gunner"

R-Cyborg-Hvywpn-Acannon			"Super Auto-Cannon Cyborg"
Cyb-Hvy-Acannon				"Super Auto-Cannon Cyborg"
Cyb-Hvybod-Acannon			"Super Auto-Cannon Cyborg"
Cyb-Hvywpn-Acannon			"Super Auto-Cannon Cyborg"

R-Cyborg-Hvywpn-HPV			"Super HPV Cyborg"
Cyb-Hvy-HPV					"Super HPV Cyborg"
Cyb-Hvybod-HPV				"Super HPV Cyborg"
Cyb-Hvywpn-HPV				"Super HPV Cyborg"

R-Cyborg-Hvywpn-TK			"Super Tank-Killer Cyborg"
Cyb-Hvy-TK					"Super Tank-Killer Cyborg"
Cyb-Hvybod-TK				"Super Tank-Killer Cyborg"
Cyb-Hvywpn-TK				"Super Tank-Killer Cyborg"

R-Wpn-HvyLaser				"Heavy Laser"
HeavyLaser					"Heavy Laser"
HeavyLaser-VTOL				"Heavy Laser"
Emplacement-HeavyLaser			"Heavy Laser Emplacement"
R-Defense-HeavyLas			"Heavy Laser Emplacement"

// added by SEBG 17 June 1999

R-Sys-Resistance-Circuits		"Resistance Circuits"

Cannon6TwinAslt				"Twin Assault Cannon"
R-Wpn-Cannon6TwinAslt			"Twin Assault Cannon"
R-Defense-Cannon6				"Twin Assault Cannon Bunker"
PillBox-Cannon6				"Twin Assault Cannon Bunker"

A0LasSatCommand				"Laser Satellite Command Post"
A0Sat-linkCentre				"Satellite Uplink Center"
Sensor-WideSpec				"Wide Spectrum Sensor"
Sys-SensoTowerWS				"Wide Spectrum Sensor Tower"
R-Sys-Sensor-WS				"Wide Spectrum Sensor"
R-Sys-Sensor-WSTower			"Wide Spectrum Sensor Tower"
R-Sys-Sensor-SatLink			"Satellite Uplink Center"
R-Wpn-LasSat				"Laser Satellite Command Post"
R-Sys-Sensor-UpLink			"Satellite Uplink Center"
LasSatCommandSensor			"*LasSatCommandSensor*"

// added by SEBG 5 July 1999

SK-Veng-Track-C6TwinAslt	"*SK-Veng-Track-C6TwinAslt*"
SK-Veng-Track-HvyLaser		"*SK-Veng-Track-HvyLaser*"

AutoRepair					"*AutoRepair*"

// added by Marc 23rd June 1999 Tech 3 Super-Cyborgs, Plasma Cannon and EMP Cannon

R-Wpn-PlasmaCannon			"Plasma Cannon"
Laser4-PlasmaCannon			"Plasma Cannon"
R-Defense-PlasmaCannon			"Plasma Cannon Emplacement"
Emplacement-PlasmaCannon		"Plasma Cannon Emplacement"

R-Cyborg-Hvywpn-PulseLsr		"Super Pulse Laser Cyborg"
Cyb-Hvy-PulseLsr				"Super Pulse Laser Cyborg"
Cyb-Hvybod-PulseLsr			"Super Pulse Laser Cyborg"
Cyb-Hvywpn-PulseLsr			"Super Pulse Laser Cyborg"

R-Cyborg-Hvywpn-RailGunner		"Super Rail-Gunner"
Cyb-Hvy-RailGunner			"Super Rail-Gunner"
Cyb-Hvybod-RailGunner			"Super Rail-Gunner"
Cyb-Hvywpn-RailGunner			"Super Rail-Gunner"

R-Cyborg-Hvywpn-A-T			"Super Scourge Cyborg"
Cyb-Hvy-A-T					"Super Scourge Cyborg"
Cyb-Hvybod-A-T				"Super Scourge Cyborg"
Cyb-Hvywpn-A-T				"Super Scourge Cyborg"

Sys-SpyTower				"NEXUS Link Tower"
R-Sys-SpyTower				"NEXUS Link Tower"

EMP-Cannon					"EMP Cannon"
WallTower-EMP				"EMP Cannon Tower"
R-Defense-EMPCannon			"EMP Cannon Tower"
R-Wpn-EMPCannon				"EMP Cannon"

// added by SEBG for September patch

X-Super-MassDriver			"Mass Driver Fortress"
MassDriver					"*Mass Driver Weapon*"
R-Defense-MassDriver			"Mass Driver Fortress"

X-Super-Cannon				"Cannon Fortress"
CannonSuper					"*Fortress Cannon Weapon*"
